part_number,name_en,name_cn,spec_cn,retail_price,fitment
102000-0034,carburetor,化油器,JK-PD24J-1e 真空膜片 EPA状态 打PD24,102,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
106001-0068,muffler,消音器 含触媒,黑色 EPA 加二次补气阀安装座 含密封圈,161.5,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
803006-0008,plastic bumper,塑件保险杠,黑 色,56.1,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
803009-0002,right plastic footpeg,塑料右脚踏,黑 色 新款大脚踏,51,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
803009-0001,left plastic footpeg,塑料左脚踏,黑 色 新款大脚踏,51,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
804010-0013,sticker 2022,AU180贴花 513胶 白色,JK18114-2-W/KAYO BULL180,59.5,"[{""make"": ""Kayo"", ""year"": 2020, ""model"": ""AU180"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU180""}]"
313001-0011,multi-functional switch,组合开关,五功能/带风门开关/CT-S09 防水插件 线长600,42.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
602015-0006,chock cable,风门线,黑色 皮长860尾长70 线芯304不锈钢,20.4,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
404000-0153,front brake assy./L=690,前碟刹总成,L=750+440*2 1拖2 4号驻车手柄/108上泵配镜座/如意下泵/329支架/普通蹄块,153,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
404007-0021,front brake pad,前碟刹蹄块,普通 AU200 配如意下泵,13.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
404005-0008,front brake oil pipe,前碟刹油管总成,L=750+440*2 含螺栓与垫片 1拖2,42.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-5"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
405000-0104,rear brake assy./L=1600,后碟刹总成,L=1600 4号驻车手柄/108上泵配镜座/100AB下泵体/90安装距/普通蹄块,136,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
405000-0139,rear brake assy./L=1600,后碟刹总成,L=1600 4号驻车手柄/108上泵配镜座/100AB下泵体/90安装距/HB-F057蹄块/六价五彩外六角导销,136,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
405008-0018,rear brake pad,后碟刹蹄块,普通 AU200 配100AB下泵体,13.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
405006-0006,rear brake oil pipe,后碟刹油管,L=1600mm 含螺栓与垫片,30.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-3"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
405007-0002,rear brake caliper,后碟刹下泵总成,黑色 AU200 含全套附件,59.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-5"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
405008-0006,rear brake pad 2019-2020 early,,,13.6,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU200""}]"
602010-0002,Rear left mirror,左后视镜,QY1128 带M8螺纹 E4-000304,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""T4"", ""section"": null, ""variant"": null, ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""T4""}]"
602010-0003,Rear right mirror,右后视镜,QY1128 带M8螺纹 E4-000304,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""T4"", ""section"": null, ""variant"": null, ""callout_no"": ""17"", ""confidence"": ""high"", ""model_code"": ""T4""}]"
501000-0066,front fork,前左右减震,彩锌座 L=280 Φ7.5红簧 AU200,85,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
566000-0007-02,steering column orange,AU200转向柱/金工,橘 黄 L563.2,93.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
566000-0007-01,steering column black,转向柱,亚 黑 AU200 L563.2,93.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
907001-0007,bearing,轴承,6002-2RS/15*32*9,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
902002-0030,bush,转向柱钢衬套,兰白锌 漏斗状 Φ13.5+15*18+19*H9+3+3+5,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""19"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
908001-0002,oil seal,油封,Φ18*32*7 FB型,5.1,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
903004-0001,Steel detent ring,钢丝挡圈,电 泳 Φ32*34.4*线径1.2,6.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
603002-0013,left steering knot,AU200左转向节,电泳黑 仿YAMAHA,68,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
603002-0014,right steering knot,AU200右转向节,电泳黑 仿YAMAHA,68,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
C90004-0038,front left wheel assy,前左轮组合件,安装好含401000-0061*1/401012-0013*1,221,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""15"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
C90004-0039,front right wheel assy,前右轮组合件,安装好含401000-0061*1/401012-0013-02*1,221,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""16"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
402006-0035,rear tire,后轮胎,AT22*10-10 A花/高胎 带气门嘴 骏凯 E32-75R-000017,153,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
402000-0068,rear wheel,后轮辋,黑色 10*8 4/115 90 +15,68,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
C90004-0040,rear left wheel assy,后左轮组合件,安装好含402000-0068*1/402008-0029*1,221,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
C90004-0041,rear right wheel assy,后右轮组合件,安装好含402000-0068*1/402008-0029-02*1,221,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
561000-0045-02,frame orange,车架总成/金工,橘 黄 AU200 带铝铭牌安装板/2020款 EPA状态,816,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
561000-0045-01,frame black,车架总成/金工,亚 黑 AU200 带铝铭牌安装板/2020款 EPA状态,816,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0050-01,Shift lever bracket,AU200变档杆支架/金工,亚 黑,34,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0048-01,left foot pedal tray bracket,AU200左脚踏支架/金工,亚 黑,59.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0054,engine front left mount plate,AU200发动机前左安装板,亚 黑,30.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0052,engine front right mount plate,AU200发动机前右安装板,亚 黑 多30*20缺口,30.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0049-01,right foot pedal tray bracket,AU200右脚踏支架/金工,亚 黑,59.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0054-02,orange right below rocker arm,AU200右下摇臂/金工,橘 黄 276*260*103/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0054-01,black right below rocker arm,AU200右下摇臂/金工,亚 黑 276*260*103/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0053-02,orange left below rocker arm,AU200左下摇臂/金工,橘 黄 276*260*103/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0053-01,black left below rocker arm,AU200左下摇臂/金工,亚 黑 AU200 276*260*103/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
903018-0048,flange bolt,外六角小头法兰螺栓 GB5787,兰白锌 M10*75*1.25,5.1,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
603003-0010,linkage ball head-lower,摇臂球头组件-下,白锌 可拆卸球头座/M10*1.25,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""S200"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""S200""}]"
C90004-0022,orange left below rocker arm assy,左下摇臂组件橘黄,安装好含565000-0053-02*1/603003-0010*1/902001-0039*2/902002-0038*4/908007-0006*4,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0023,orange right below rocker arm assy,右下摇臂组件橘黄,安装好含565000-0054-02*1/603003-0010*1/902001-0039*2/902002-0038*4/908007-0006*4,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0119,blcak left below rocker arm assy,左下摇臂组件黑色,安装好含565000-0053-01*1/603003-0010*1/902001-0039*2/902002-0038*4/908007-0006*4,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""11-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0120,black right below rocker arm assy,右下摇臂组件黑色,安装好含565000-0054-01*1/603003-0010*1/902001-0039*2/902002-0038*4/908007-0006*4,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0051-02,orange left upper rocker arm,AU200左上摇臂/金工,橘 黄 216*200*77/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0051-01,black left upper rocker arm,AU200左上摇臂/金工,亚 黑 216*200*77/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0052-02,orange right below rocker arm,AU200右上摇臂/金工,橘 黄 216*200*77/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
565000-0052-01,black right below rocker arm,AU200右上摇臂/金工,亚 黑 216*200*77/可拆卸球头座,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
901001-0048,flange axle,法兰轴,兰白锌 Φ10*232*M10*1.25mm 10.9级S=12,13.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
902001-0030,steel bush,上摇臂钢衬套,兰白锌 Φ10.2*16*L206.5,17,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
603003-0009,linkage ball,摇臂球头组件-上,白锌 可拆卸球头座/含附件M10,42.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""8"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0020,orange left upper rocker arm assy,左上摇臂组件,安装好含565000-0051-02*1/603003-0009*1/902001-0030*1/902002-0038*2/908007-0006*2,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0021,orange right upper rocker arm assy,右上摇臂组件,安装好含565000-0052-02*1/603003-0009*1/902001-0030*1/902002-0038*2/908007-0006*2,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0117,black left upper rocker arm assy,左上摇臂组件,安装好含565000-0051-01*1/603003-0009*1/902001-0030*1/902002-0038*2/908007-0006*2,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0118,black right upper rocker arm assy,右上摇臂组件,安装好含565000-0052-01*1/603003-0009*1/902001-0030*1/902002-0038*2/908007-0006*2,110.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""13-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
563000-0018-01,swing arm,AU200平叉总成/金工,亚 黑 419*220 铝后桥状态,161.5,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
902002-0054,swing arm bush,后平叉衬套,防 锈 Φ16*22*228/中间21.5*164,25.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
203000-0100,chain,链条,灰色 CHOHO 530H 88L,76.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
203001-0007,chain joint,链条接头,灰色 530,8.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12-1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
901001-0049,flange axle,法兰轴,兰白锌 Φ16*268*M16*1.5mm 10.9级S=19,25.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
C90004-0096,swing arm kit,平叉组件,安装好含563000-0018-01*1/902002-0054*1/907002-0005*2/908007-0001*2/901001-0049*1/903007-0011*1,204,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""20"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
502000-0051,rear shock,后减震总成,彩锌座红簧 L=310 Φ9簧 AU200,144.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
101000-0542,engine LX162FMK-2,发动机总成,银色 LX/CVT176油冷 12全波直流点火 无棉 530-17 含负压嘴弯管/链条护罩/稳压器DJ7031Y-4.8-11/高压包打HYTCC屏蔽高压帽/点火器打HYDAC/无油管-右侧打KAYO填红漆/型号LX162FMK-2/火花塞TORCH/D8RTC,1666,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
101031-0137,front sprocket cover,Bull 200,top left of engine photo,59.5,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU200""}]"
901001-0003,flanged shaft,法兰轴,兰白锌 Φ10*105*M10*1.25mm,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""S200"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""S200""}]"
201002-0023,Shift lever,变档杆组件,含换档手柄/拉杆 L96带胶套刻字N-R-D,59.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
906002-0007,clip,管卡,兰白锌 Φ15,2.55,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0053,gear shift arm,AU200换档臂,兰白锌 130*67*5/带Φ8.2孔,25.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
908007-0045,engine joint,发动机接头,黑色 Φ50 PVC 含卡箍,17,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""12"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
505001-0013,rear axle,后轮轴,兰白锌 L=818*M18*1.5,187,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
205001-0033,rear sprocket,钢制后链轮,黑色 530/41齿 内径114,51,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
568000-0079,rear brake mount round plate,后碟刹安装圆板,亚 黑 Φ100,34,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
405001-0022,rear brake disc,后碟刹圆盘,Φ219 4*Φ8.5 中心Φ49.5,51,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""10"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
304003-0007-10,speed sensor magnet AU200SSM,needs 4 per vehicle,10mm,8.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
102000-0036,carburetor,化油器,JK-PZ30A-41 拉线风门 EPA状态 打PZ30,110.5,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
102000-0071,carburetor,化油器,JK-PZ30A-41a 拉线风门 一体式怠速螺栓 EPA状态 打PZ30,110.5,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
903006-0002,Nut,六角法兰带齿螺母 GB6177-86,兰白锌 M6,3.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EKMB"", ""section"": null, ""variant"": null, ""callout_no"": ""9"", ""confidence"": ""high"", ""model_code"": ""EKMB""}]"
105003-0006,air filter joint,空滤器接头,Φ38,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""S200"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""S200""}]"
105000-0023,air filter assy.,空滤器总成,黑 色 Φ63打刻KAYO e13 T3/EPA认证号 含卡箍51-70/Φ15管卡 高位进气,81.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""S200"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""S200""}]"
105002-0014,filter element,空滤器滤芯,105000-0023内芯,42.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""S200"", ""section"": null, ""variant"": null, ""callout_no"": ""5--1"", ""confidence"": ""high"", ""model_code"": ""S200""}]"
106001-0087,muffler,消音器,黑色 AU200 右侧安装 含密封圈 EPA加二次补气阀安装座 委外触媒,166.6,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
309001-0124,wire harness,主线缆,配20款车架 防水 公路款,127.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
315012-0017,Battery holder,电池固定架,亚 黑 193*18*31焊点火器支架,17,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
308001-0017,right head light,右前大灯,JUTELCA5 E4-113R-0125787 E4-7R-0225787,110.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
308001-0016,left head light,左前大灯,JUTELCA5 E4-113R-0125787 E4-7R-0225787,110.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
308003-0008,turn light,后左右转向灯,黄 色 LED 带插件 E4-6R-0161626,34,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
311001-0021,instrument,仪 表,带故障灯/防水磁感应器/磁钢4只 不带线束,127.5,"[{""make"": ""Kayo"", ""year"": 2023, ""model"": ""AU200-2"", ""section"": null, ""variant"": null, ""callout_no"": ""11"", ""confidence"": ""high"", ""model_code"": ""AU200-2""}]"
304003-0007,speed sensor with triangular plug,1,,30.6,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU200""}]"
315011-0004,instrument bracket,仪表盖支架,亚 黑,20.4,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""13"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
